"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 04-Aug-2026","1W AGO 
 29-Jul-2026","1M AGO 
 03-Jul-2026","1Y AGO 
 04-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","24,643.75","0.12","24,669.20","24,677.60","24,616.95","-","24,614.90","24,614.90","24,250.20","24,270.85","24,722.75","26,373.20","22,182.55",1.54,-0.02
"NIFTY NEXT 50","74,681.90","0.64","74,661.35","74,695.90","74,471.55","-","74,210.55","74,210.55","72,626.55","72,268.95","66,917.50","74,667.20","59,896.10",3.34,11.86
"NIFTY BANK","57,916.60","0.02","57,810.05","57,925.80","57,603.95","-","57,907.20","57,907.20","57,205.90","57,938.50","55,619.35","61,764.85","49,954.85",-0.04,4.62
"NIFTY FINANCIAL SERVICES","26,919.15","0.28","26,857.70","26,925.90","26,792.70","-","26,844.70","26,844.70","26,287.10","26,875.05","26,476.60","28,562.50","23,373.95",0.16,2.07
"NIFTY MIDCAP SELECT","14,902.45","0.21","14,954.00","14,954.00","14,886.40","-","14,871.50","14,871.50","14,683.05","14,545.90","12,861.10","14,908.85","12,046.20",2.45,16.78
"NIFTY 100","25,774.10","0.21","25,794.30","25,801.45","25,739.50","-","25,719.15","25,719.15","25,307.05","25,301.90","25,330.20","26,975.15","22,720.45",1.87,2.04
"NIFTY 200","14,267.85","0.23","14,284.65","14,287.00","14,250.75","-","14,235.20","14,235.20","14,024.45","13,992.05","13,792.60","14,700.95","12,396.10",1.97,3.76
"NIFTY 500","23,758.05","0.29","23,779.35","23,782.70","23,726.65","-","23,690.15","23,690.15","23,352.60","23,301.15","22,860.40","24,144.20","20,385.65",1.96,4.21
"NIFTY MIDCAP 50","18,248.70","0.18","18,323.80","18,324.45","18,240.50","-","18,215.85","18,215.85","18,087.70","17,783.25","16,177.75","18,306.55","14,804.55",2.62,13.46
"NIFTY MIDCAP 100","63,677.55","0.29","63,852.15","63,852.15","63,619.95","-","63,491.60","63,491.60","62,862.25","62,190.30","57,432.35","63,740.85","52,032.85",2.39,11.31
"NIFTY SMALLCAP 100","19,775.50","0.71","19,729.80","19,775.60","19,710.40","-","19,635.25","19,635.25","19,362.35","19,175.10","17,893.40","19,757.75","14,986.00",3.13,10.7
"INDIA VIX","11.68","-4.16","12.19","12.19","10.81","-","12.19","12.19","12.01","11.80","11.97","28.91","8.72",-1.02,-0.26
"NIFTY MIDCAP 150","23,420.30","0.31","23,476.75","23,476.75","23,400.15","-","23,347.75","23,347.75","23,123.70","22,884.35","21,329.40","23,437.00","19,218.00",2.34,10.01
"NIFTY SMALLCAP 50","9,825.50","0.76","9,792.50","9,825.65","9,788.75","-","9,751.80","9,751.80","9,641.10","9,470.40","8,645.50","9,798.50","7,338.35",3.75,14
"NIFTY SMALLCAP 250","18,322.15","0.70","18,298.30","18,323.60","18,274.75","-","18,194.30","18,194.30","17,978.05","17,996.25","17,028.65","18,277.55","14,143.45",1.81,7.94
"NIFTY MIDSMALLCAP 400","21,567.05","0.44","21,591.60","21,591.60","21,537.85","-","21,471.60","21,471.60","21,248.65","21,111.00","19,794.45","21,558.90","17,390.85",2.16,9.21
"NIFTY500 MULTICAP 50:25:25","16,815.45","0.36","16,826.60","16,828.20","16,791.05","-","16,755.15","16,755.15","16,530.55","16,489.80","15,961.20","16,815.55","14,102.20",1.97,5.64
"NIFTY LARGEMIDCAP 250","16,993.95","0.26","17,021.10","17,021.85","16,976.85","-","16,949.55","16,949.55","16,732.25","16,643.80","16,067.30","17,077.75","14,445.65",2.1,6.02
