SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"PNBHOUSING","1,070.20","1,138.00","1,070.20","1,080.00","1,135.80","-","55.8","5.17","575197","64.27","1,138.00","729.60","1.47","38.73"
"ICICIGI","1,729.30","1,771.00","1,700.00","1,644.80","1,703.20","-","58.4","3.55","530929","91.48","2,064.90","1,544.60","-7.22","-13.23"
"GODREJPROP","2,055.70","2,099.00","2,055.70","2,033.60","2,096.40","-","62.8","3.09","114683","23.87","2,352.00","1,434.00","1.86","-3.07"
"JUBLFOOD","470.80","479.35","467.70","465.00","479.10","-","14.1","3.03","241482","11.51","670.45","408.55","8.24","-28.33"
"UNOMINDA","1,229.20","1,260.60","1,229.20","1,227.00","1,260.60","-","33.6","2.74","105152","13.17","1,382.00","994.00","8.96","15.53"
"MUTHOOTFIN","2,894.90","2,954.90","2,891.10","2,870.00","2,948.40","-","78.4","2.73","208369","61.05","4,149.50","2,476.60","-6.05","7.66"
"MANAPPURAM","362.20","369.70","360.00","356.60","366.05","-","9.45","2.65","1540927","56.42","381.55","245.15","8.65","35.02"
"INDIGO","5,460.00","5,508.00","5,411.50","5,358.00","5,498.00","-","140","2.61","128936","70.62","6,232.50","3,895.20","-1.26","-7.31"
"LTF","323.00","326.75","322.90","317.90","324.90","-","7","2.2","581628","18.89","338.60","194.40","-2.78","55.82"
"NHPC","81.86","82.49","81.61","80.50","82.24","-","1.74","2.16","3107290","25.53","89.22","71.62","-0.04","-3.58"
"DLF","651.15","657.80","649.00","643.40","657.10","-","13.7","2.13","237177","15.51","798.80","489.40","-4.81","-18.85"
"CONCOR","519.95","528.45","519.90","515.00","525.80","-","10.8","2.1","130747","6.86","583.25","421.45","5.49","-11.47"
"LODHA","1,249.90","1,261.30","1,240.30","1,229.80","1,254.90","-","25.1","2.04","213181","26.74","1,344.95","650.80","16.35","-1.14"
"ASHOKLEY","174.00","175.89","173.00","172.08","175.37","-","3.29","1.91","1482978","25.92","215.42","114.96","4.7","40.36"
"PRESTIGE","1,610.00","1,629.00","1,600.50","1,595.00","1,625.10","-","30.1","1.89","22356","3.62","1,805.20","1,090.00","-4.38","-2.32"
"LT","4,025.00","4,071.00","4,024.80","3,990.00","4,063.60","-","73.6","1.84","167620","68.02","4,440.00","3,288.10","-0.91","9.88"
"AMBUJACEM","441.00","444.75","438.75","436.05","444.00","-","7.95","1.82","171844","7.62","615.00","394.00","-1.66","-27.96"
"HINDPETRO","398.45","401.05","397.15","391.50","398.55","-","7.05","1.8","1041434","41.52","508.45","316.20","-1.94","-4.2"
"SBICARD","661.75","670.80","661.75","658.00","669.75","-","11.75","1.79","47324","3.16","965.00","565.45","8.98","-18.21"
"PAYTM","1,416.00","1,428.00","1,407.30","1,400.00","1,422.40","-","22.4","1.6","161093","22.89","1,437.60","930.60","14.62","29.85"
"IOC","143.89","144.07","143.31","141.60","143.85","-","2.25","1.59","841852","12.10","188.96","130.22","0.03","-0.55"
"NATIONALUM","381.00","383.90","380.60","377.00","383.00","-","6","1.59","707980","27.09","445.15","179.93","8.46","101.45"
"PHOENIXLTD","1,940.00","1,964.90","1,940.00","1,932.30","1,963.00","-","30.7","1.59","16583","3.24","2,169.80","1,402.50","-5.63","31.07"
"CHOLAFIN","1,888.00","1,905.30","1,884.20","1,875.00","1,902.30","-","27.3","1.46","40109","7.61","1,913.00","1,299.40","4.76","27.37"
"OBEROIRLTY","1,781.10","1,806.00","1,781.10","1,778.80","1,804.30","-","25.5","1.43","18828","3.39","1,986.10","1,391.20","-8.04","10.51"
"BOSCHLTD","41,405.00","41,890.00","41,310.00","41,200.00","41,780.00","-","580","1.41","2342","9.75","42,985.00","28,610.00","-1.66","0.21"
"BAJFINANCE","1,152.00","1,165.20","1,149.00","1,149.00","1,165.00","-","16","1.39","389780","45.19","1,176.40","787.90","11.4","29.79"
"FORCEMOT","18,490.00","18,732.00","18,449.00","18,378.00","18,628.00","-","250","1.36","10874","20.25","26,450.00","14,911.00","-2.27","8.02"
"HINDZINC","570.00","572.15","568.00","562.90","570.25","-","7.35","1.31","546395","31.17","733.00","413.85","4.91","33.52"
"M&M","3,470.00","3,479.90","3,435.00","3,433.00","3,477.40","-","44.4","1.29","180304","62.38","3,839.90","2,896.00","9.44","7.27"
"GVT&D","4,380.00","4,395.00","4,353.00","4,333.20","4,389.00","-","55.8","1.29","19931","8.72","5,650.00","2,523.20","-1.55","55.99"
"CROMPTON","264.45","266.60","264.45","263.10","266.50","-","3.4","1.29","30213","0.80","337.50","217.40","-2.84","-19.57"
"SHRIRAMFIN","1,097.70","1,104.60","1,092.70","1,087.30","1,100.50","-","13.2","1.21","529140","58.18","1,108.00","566.50","2.23","74"
